NaiveLinearInpainter,269941,159135,104127,46112,52742,220564,371469,23428,28137,344572,29775,346651,301795,150461,232670,128281,249003,98964,94762,187749
IntermediateLinearInpainter,116542,124105,77134,28598,55010,121846,226283,21117,14153,179672,13207,190469,166731,125051,191155,121202,200502,36506,67647,140261
ExemplarInpainter,897459,3812145,1695806,78123,747346,2115775,5200626,708708,1128600,2371855,17995,4972307,4875037,1979307,5269412,3732486,3832288,306539,3496969,928574
